vaxis12,spec12,vaxis13,spec13,vaxis18,spec18
-13.96891272,-0.623277783,-14.11343575,-0.177685753,-13.97485257,0.214723349
-13.81017508,0.362091333,-13.94739532,0.058229093,-13.80817815,0.043496259
-13.65143743,-0.455916017,-13.7813549,0.290107667,-13.64150373,-0.29513216
-13.49269979,-0.248868138,-13.61531448,-0.019791385,-13.47482931,-0.19460696
-13.33396214,-0.013745023,-13.44927406,0.125917211,-13.30815489,-0.144718319
-13.1752245,-1.00265789,-13.28323364,0.210955814,-13.14148047,-0.140910625
-13.01648685,0.322607189,-13.11719322,-0.079286024,-12.97480605,0.108628392
-12.85774921,0.577112854,-12.9511528,-0.08443439,-12.80813163,-0.02326107
-12.69901156,-0.244670093,-12.78511238,-0.142537266,-12.64145721,0.193042532
-12.54027392,-0.389958709,-12.61907196,0.131313279,-12.47478279,0.032934103
-12.38153628,0.198668972,-12.45303154,0.108818516,-12.30810837,-0.305153072
-12.22279863,0.466661602,-12.28699112,-0.352348983,-12.14143395,-0.521703482
-12.06406099,0.142432943,-12.1209507,-0.218981192,-11.97475953,0.147468612
-11.90532334,-0.286681443,-11.95491028,-0.149173692,-11.80808511,0.681004226
-11.7465857,-0.47578755,-11.78886986,0.274280936,-11.64141069,0.075626493
-11.58784805,-0.879164934,-11.62282944,-0.124126501,-11.47473627,0.106366649
-11.42911041,-0.342588753,-11.45678902,0.062865555,-11.30806185,0.295017332
-11.27037276,0.545030177,-11.2907486,-0.209591463,-11.14138743,0.372310907
-11.11163512,0.286191434,-11.12470818,0.10581322,-10.97471301,0.403297603
-10.95289747,0.608713925,-10.95866776,0.140098408,-10.80803859,0.288073391
-10.79415983,0.738332152,-10.79262733,-0.171741322,-10.64136417,0.011638442
-10.63542219,0.513848424,-10.62658691,-0.145521626,-10.47468975,-0.000859065
-10.47668454,0.506509483,-10.46054649,0.035705976,-10.30801533,0.194200978
-10.3179469,0.316384524,-10.29450607,0.148211271,-10.14134091,0.000729096
-10.15920925,-0.256823063,-10.12846565,0.128669947,-9.974666488,0.073235951
-10.00047161,0.161579832,-9.962425232,-0.010211949,-9.807992068,-0.267965436
-9.841733962,0.704106152,-9.796384811,0.250952184,-9.641317648,0.046620779
-9.682996318,0.296955347,-9.630344391,-0.080337256,-9.474643227,0.020468168
-9.524258673,0.273138344,-9.46430397,-0.086910576,-9.307968807,0.150871098
-9.365521029,-0.303180307,-9.29826355,0.477989703,-9.141294387,0.323141336
-9.206783384,-0.080736123,-9.132223129,0.351157337,-8.974619967,0.008430835
-9.04804574,-0.568155944,-8.966182709,0.630764902,-8.807945546,-0.12712796
-8.889308095,0.361266315,-8.800142288,0.392486691,-8.641271126,-0.292637259
-8.73057045,0.523952305,-8.634101868,0.067197762,-8.474596706,-0.266711205
-8.571832806,0.278052568,-8.468061447,-0.002883554,-8.307922286,0.378904521
-8.413095161,0.561121285,-8.302021027,0.03895276,-8.141247865,0.155989304
-8.254357517,0.752022028,-8.135980606,0.167173356,-7.974573445,-0.351870179
-8.095619872,1.486395836,-7.969940186,0.191160813,-7.807899025,-0.626423061
-7.936882228,2.329026937,-7.803899765,0.682323575,-7.641224605,-0.166631192
-7.778144583,2.885012388,-7.637859344,0.761968434,-7.474550185,0.123364963
-7.619406939,4.928908825,-7.471818924,1.522983909,-7.307875764,0.164158463
-7.460669294,6.674614906,-7.305778503,1.983142972,-7.141201344,0.60581249
-7.301931649,7.242135048,-7.139738083,2.835227728,-6.974526924,0.974107742
-7.143194005,8.209746361,-6.973697662,3.606448174,-6.807852504,1.482488036
-6.98445636,8.582242966,-6.807657242,4.311683655,-6.641178083,0.878665566
-6.825718716,8.601448059,-6.641616821,4.774149418,-6.474503663,0.496211439
-6.666981071,8.75012207,-6.475576401,3.522768974,-6.307829243,-0.09508501
-6.508243427,9.142209053,-6.30953598,2.480205059,-6.141154823,-0.237413779
-6.349505782,8.243515015,-6.14349556,1.903160334,-5.974480402,0.262777179
-6.190768138,7.02397728,-5.977455139,1.715893984,-5.807805982,0.104138091
-6.032030493,6.840700626,-5.811414719,0.736675382,-5.641131562,0.369173318
-5.873292848,6.372487068,-5.645374298,0.17107439,-5.474457142,0.49719277
-5.714555204,4.416293621,-5.479333878,-0.043700472,-5.307782721,0.255394757
-5.555817559,2.478853226,-5.313293457,0.092384689,-5.141108301,-0.068921901
-5.397079915,2.09777379,-5.147253036,0.925647914,-4.974433881,-0.096855134
-5.23834227,3.492290974,-4.981212616,0.867810726,-4.807759461,0.011699352
-5.079604626,3.918884039,-4.815172195,0.671748042,-4.641085041,0.039909262
-4.920866981,4.77954483,-4.649131775,0.483555406,-4.47441062,-0.398990333
-4.762129337,6.145606518,-4.483091354,0.195532545,-4.3077362,-0.055884954
-4.603391692,6.385193348,-4.317050934,0.009989308,-4.14106178,0.019395633
-4.444654047,6.059111595,-4.151010513,-0.293526798,-3.97438736,0.433237672
-4.285916403,5.396319866,-3.984970093,-0.201327384,-3.807712939,0.240017742
-4.127178758,3.076661348,-3.818929672,0.056390297,-3.641038519,0.083960667
-3.968441114,1.184844255,-3.652889252,0.485954463,-3.474364099,0.129420534
-3.809703469,0.481674284,-3.486848831,0.094715886,-3.307689679,-0.120968141
-3.650965825,-0.198008001,-3.320808411,-0.219208941,-3.141015258,-0.05695134
-3.49222818,-1.017887354,-3.15476799,-0.514568985,-2.974340838,0.275400519
-3.333490536,0.135954067,-2.98872757,0.071764685,-2.807666418,0.339222878
-3.174752891,0.243544087,-2.822687149,0.357773781,-2.640991998,-0.127928957
-3.016015247,0.112414412,-2.656646729,-0.086905248,-2.474317577,-0.055015154
-2.857277602,-0.422957063,-2.490606308,-0.183960006,-2.307643157,-0.24582541
-2.698539957,-0.148734733,-2.324565887,-0.377539605,-2.140968737,-0.41670534
-2.539802313,-0.446326554,-2.158525467,-0.611206353,-1.974294317,-0.11468669
-2.381064668,-0.071854956,-1.992485046,-0.048960805,-1.807619896,0.227447748
-2.222327024,0.116400898,-1.826444626,0.041184764,-1.640945476,-0.057805892
-2.063589379,0.216563553,-1.660404205,-0.248249665,-1.474271056,-0.055998884
-1.904851735,0.974356115,-1.494363785,-0.02396266,-1.307596636,0.252609938
-1.74611409,1.583668113,-1.328323364,0.199786112,-1.140922216,0.150064141
-1.587376446,2.403455019,-1.162282944,0.324599713,-0.974247795,0.385770887
-1.428638801,1.635026336,-0.996242523,0.283934057,-0.807573375,0.514603555
-1.269901156,1.394009709,-0.830202103,0.249267042,-0.640898955,0.516934872
-1.111163512,2.714082003,-0.664161682,0.463205069,-0.474224535,0.162703007
-0.952425867,2.845202923,-0.498121262,0.442180395,-0.307550114,0.066144034
-0.793688223,2.535584688,-0.332080841,0.415474087,-0.140875694,0.103496477
-0.634950578,3.830459595,-0.166040421,0.104547508,0.025798726,0.006963873
-0.476212934,2.43445015,0,0.010506612,0.192473146,0.041200779
-0.317475289,2.20827651,0.166040421,0.442618489,0.359147567,0.107430704
-0.158737645,2.361718655,0.332080841,0.245434687,0.525821987,-0.093278915
0,1.892447829,0.498121262,-0.204594225,0.692496407,-0.431822002
0.158737645,2.299824238,0.664161682,-0.099390268,0.859170827,0.037436005
0.317475289,2.169357538,0.830202103,-0.097791307,1.025845248,0.531426489
0.476212934,0.674664378,0.996242523,0.502127528,1.192519668,0.624566317
0.634950578,0.846132874,1.162282944,-0.009352704,1.359194088,0.631243706
0.793688223,-0.46125403,1.328323364,0.397536427,1.525868508,0.150554448
0.952425867,-0.927610159,1.494363785,-0.439620823,1.692542929,0.203577444
1.111163512,-0.181958854,1.660404205,0.201627821,1.859217349,-0.199803486
1.269901156,0.465790778,1.826444626,0.096521333,2.025891769,0.314056933
1.428638801,0.515826046,1.992485046,0.041496865,2.192566189,0.464853376
1.587376446,0.692955911,2.158525467,-0.016862255,2.359240609,-0.355473101
1.74611409,0.672435939,2.324565887,-0.054017629,2.52591503,-0.254225314
1.904851735,0.652111411,2.490606308,-0.014752824,2.69258945,-0.138036609
2.063589379,-0.366398871,2.656646729,-0.085556887,2.85926387,-0.078511365
2.222327024,0.564311564,2.822687149,0.198645994,3.02593829,-0.179936469
2.381064668,-0.783385754,2.98872757,-0.21917659,3.192612711,-0.087626845
2.539802313,-1.485700488,3.15476799,-0.259476393,,
2.698539957,-1.36804831,3.320808411,-0.209468871,,
2.857277602,-0.003436116,,,,
3.016015247,0.649068594,,,,
3.174752891,0.332224101,,,,
